pair_subj,pair_emo,subj_i,subj_j,emotion1,emotion2,matched,same_culture,rho
"('P0', 'P1')","('neutral', 'neutral')",P0,P1,neutral,neutral,True,True,0.0046083026800414
"('P0', 'P1')","('neutral', 'fear')",P0,P1,neutral,fear,False,True,-0.0205922618668042
"('P0', 'P1')","('neutral', 'anger')",P0,P1,neutral,anger,False,True,-0.0076199081740516
"('P0', 'P1')","('neutral', 'disgust')",P0,P1,neutral,disgust,False,True,0.0085839298319228
"('P0', 'P1')","('neutral', 'sadness')",P0,P1,neutral,sadness,False,True,0.0308033251501741
"('P0', 'P1')","('neutral', 'happiness')",P0,P1,neutral,happiness,False,True,-0.0610414572197877
"('P0', 'P1')","('neutral', 'surprise')",P0,P1,neutral,surprise,False,True,0.0053761744806671
"('P0', 'P1')","('fear', 'neutral')",P0,P1,fear,neutral,False,True,-0.0030794490607727
"('P0', 'P1')","('fear', 'fear')",P0,P1,fear,fear,True,True,0.0011728444846397
"('P0', 'P1')","('fear', 'anger')",P0,P1,fear,anger,False,True,-0.0202924324357485
"('P0', 'P1')","('fear', 'disgust')",P0,P1,fear,disgust,False,True,-0.0744124000079869
"('P0', 'P1')","('fear', 'sadness')",P0,P1,fear,sadness,False,True,0.0760721850126533
"('P0', 'P1')","('fear', 'happiness')",P0,P1,fear,happiness,False,True,0.01979754647491
"('P0', 'P1')","('fear', 'surprise')",P0,P1,fear,surprise,False,True,0.0356621713432441
"('P0', 'P1')","('anger', 'neutral')",P0,P1,anger,neutral,False,True,-0.0005030497415057
"('P0', 'P1')","('anger', 'fear')",P0,P1,anger,fear,False,True,0.0765317069754895
"('P0', 'P1')","('anger', 'anger')",P0,P1,anger,anger,True,True,0.0630084202839496
"('P0', 'P1')","('anger', 'disgust')",P0,P1,anger,disgust,False,True,-0.0002566496583861
"('P0', 'P1')","('anger', 'sadness')",P0,P1,anger,sadness,False,True,0.0822266914374074
"('P0', 'P1')","('anger', 'happiness')",P0,P1,anger,happiness,False,True,0.0228246050503186
"('P0', 'P1')","('anger', 'surprise')",P0,P1,anger,surprise,False,True,0.0543988506726683
"('P0', 'P1')","('disgust', 'neutral')",P0,P1,disgust,neutral,False,True,-0.0134884313943423
"('P0', 'P1')","('disgust', 'fear')",P0,P1,disgust,fear,False,True,0.024081458138899
"('P0', 'P1')","('disgust', 'anger')",P0,P1,disgust,anger,False,True,-0.0525220081529073
"('P0', 'P1')","('disgust', 'disgust')",P0,P1,disgust,disgust,True,True,-0.0728234690202859
"('P0', 'P1')","('disgust', 'sadness')",P0,P1,disgust,sadness,False,True,0.0341868368715353
"('P0', 'P1')","('disgust', 'happiness')",P0,P1,disgust,happiness,False,True,-0.0221734601978105
"('P0', 'P1')","('disgust', 'surprise')",P0,P1,disgust,surprise,False,True,0.0097156401177056
"('P0', 'P1')","('sadness', 'neutral')",P0,P1,sadness,neutral,False,True,-0.0058501130046552
"('P0', 'P1')","('sadness', 'fear')",P0,P1,sadness,fear,False,True,0.010747374142695
"('P0', 'P1')","('sadness', 'anger')",P0,P1,sadness,anger,False,True,-0.0464086923271083
"('P0', 'P1')","('sadness', 'disgust')",P0,P1,sadness,disgust,False,True,-0.0354349432055387
"('P0', 'P1')","('sadness', 'sadness')",P0,P1,sadness,sadness,True,True,0.032081867305919
"('P0', 'P1')","('sadness', 'happiness')",P0,P1,sadness,happiness,False,True,-0.037133260869944
"('P0', 'P1')","('sadness', 'surprise')",P0,P1,sadness,surprise,False,True,0.0158833302582062
"('P0', 'P1')","('happiness', 'neutral')",P0,P1,happiness,neutral,False,True,0.0055154864674322
"('P0', 'P1')","('happiness', 'fear')",P0,P1,happiness,fear,False,True,0.0804707618456187
"('P0', 'P1')","('happiness', 'anger')",P0,P1,happiness,anger,False,True,-0.0191120551183089
"('P0', 'P1')","('happiness', 'disgust')",P0,P1,happiness,disgust,False,True,-0.0335330092998766
"('P0', 'P1')","('happiness', 'sadness')",P0,P1,happiness,sadness,False,True,-0.0164488026102399
"('P0', 'P1')","('happiness', 'happiness')",P0,P1,happiness,happiness,True,True,0.0730598710410206
"('P0', 'P1')","('happiness', 'surprise')",P0,P1,happiness,surprise,False,True,0.0515162886495868
"('P0', 'P1')","('surprise', 'neutral')",P0,P1,surprise,neutral,False,True,-0.0121908918755539
