pair_subj,pair_emo,subj_i,subj_j,emotion1,emotion2,matched,same_culture,rho
"('P0', 'P10')","('neutral', 'neutral')",P0,P10,neutral,neutral,True,False,0.02628185327351622
"('P0', 'P10')","('neutral', 'fear')",P0,P10,neutral,fear,False,False,0.16950459819258618
"('P0', 'P10')","('neutral', 'anger')",P0,P10,neutral,anger,False,False,0.33839435947057495
"('P0', 'P10')","('neutral', 'disgust')",P0,P10,neutral,disgust,False,False,0.24447136729226487
"('P0', 'P10')","('neutral', 'sadness')",P0,P10,neutral,sadness,False,False,-0.21602258575651925
"('P0', 'P10')","('neutral', 'happiness')",P0,P10,neutral,happiness,False,False,0.1477806155906705
"('P0', 'P10')","('neutral', 'surprise')",P0,P10,neutral,surprise,False,False,0.18857156266337932
"('P0', 'P10')","('fear', 'neutral')",P0,P10,fear,neutral,False,False,-0.016747466908538476
"('P0', 'P10')","('fear', 'fear')",P0,P10,fear,fear,True,False,0.20366939495068365
"('P0', 'P10')","('fear', 'anger')",P0,P10,fear,anger,False,False,0.10084362504489702
"('P0', 'P10')","('fear', 'disgust')",P0,P10,fear,disgust,False,False,0.1963518053855768
"('P0', 'P10')","('fear', 'sadness')",P0,P10,fear,sadness,False,False,0.14011375212770238
"('P0', 'P10')","('fear', 'happiness')",P0,P10,fear,happiness,False,False,0.2187954515240362
"('P0', 'P10')","('fear', 'surprise')",P0,P10,fear,surprise,False,False,0.3558355866192209
"('P0', 'P10')","('anger', 'neutral')",P0,P10,anger,neutral,False,False,-0.016160630737490078
"('P0', 'P10')","('anger', 'fear')",P0,P10,anger,fear,False,False,0.3086285777194957
"('P0', 'P10')","('anger', 'anger')",P0,P10,anger,anger,True,False,0.5986947444076917
"('P0', 'P10')","('anger', 'disgust')",P0,P10,anger,disgust,False,False,0.18130102898599382
"('P0', 'P10')","('anger', 'sadness')",P0,P10,anger,sadness,False,False,0.10109499807687215
"('P0', 'P10')","('anger', 'happiness')",P0,P10,anger,happiness,False,False,0.21158409021734137
"('P0', 'P10')","('anger', 'surprise')",P0,P10,anger,surprise,False,False,0.5294499405901476
"('P0', 'P10')","('disgust', 'neutral')",P0,P10,disgust,neutral,False,False,-0.0014464574949120538
"('P0', 'P10')","('disgust', 'fear')",P0,P10,disgust,fear,False,False,0.1032635153819733
"('P0', 'P10')","('disgust', 'anger')",P0,P10,disgust,anger,False,False,0.10615908205820054
"('P0', 'P10')","('disgust', 'disgust')",P0,P10,disgust,disgust,True,False,0.23054735951287192
"('P0', 'P10')","('disgust', 'sadness')",P0,P10,disgust,sadness,False,False,-0.09476767741346462
"('P0', 'P10')","('disgust', 'happiness')",P0,P10,disgust,happiness,False,False,0.08767440645476789
"('P0', 'P10')","('disgust', 'surprise')",P0,P10,disgust,surprise,False,False,0.0934135368927492
"('P0', 'P10')","('sadness', 'neutral')",P0,P10,sadness,neutral,False,False,0.004693933186307081
"('P0', 'P10')","('sadness', 'fear')",P0,P10,sadness,fear,False,False,0.1297387148526614
"('P0', 'P10')","('sadness', 'anger')",P0,P10,sadness,anger,False,False,0.11024345349197738
"('P0', 'P10')","('sadness', 'disgust')",P0,P10,sadness,disgust,False,False,0.21731107555167953
"('P0', 'P10')","('sadness', 'sadness')",P0,P10,sadness,sadness,True,False,-0.10434386851935323
"('P0', 'P10')","('sadness', 'happiness')",P0,P10,sadness,happiness,False,False,0.02516208051126464
"('P0', 'P10')","('sadness', 'surprise')",P0,P10,sadness,surprise,False,False,0.10097772778008395
"('P0', 'P10')","('happiness', 'neutral')",P0,P10,happiness,neutral,False,False,-0.01227159204951491
"('P0', 'P10')","('happiness', 'fear')",P0,P10,happiness,fear,False,False,0.3122885051112938
"('P0', 'P10')","('happiness', 'anger')",P0,P10,happiness,anger,False,False,0.33195123991194725
"('P0', 'P10')","('happiness', 'disgust')",P0,P10,happiness,disgust,False,False,0.25611482054273876
"('P0', 'P10')","('happiness', 'sadness')",P0,P10,happiness,sadness,False,False,0.03206380888932037
"('P0', 'P10')","('happiness', 'happiness')",P0,P10,happiness,happiness,True,False,0.20448516670781897
"('P0', 'P10')","('happiness', 'surprise')",P0,P10,happiness,surprise,False,False,0.27005180823522124
"('P0', 'P10')","('surprise', 'neutral')",P0,P10,surprise,neutral,False,False,-0.018779389739816563
"('P0', 'P10')","('surprise', 'fear')",P0,P10,surprise,fear,False,False,0.13392641845116557
"('P0', 'P10')","('surprise', 'anger')",P0,P10,surprise,anger,False,False,0.29342753449865017
"('P0', 'P10')","('surprise', 'disgust')",P0,P10,surprise,disgust,False,False,0.01820834700845652
"('P0', 'P10')","('surprise', 'sadness')",P0,P10,surprise,sadness,False,False,0.10831833994108889
"('P0', 'P10')","('surprise', 'happiness')",P0,P10,surprise,happiness,False,False,0.3948048519117071
"('P0', 'P10')","('surprise', 'surprise')",P0,P10,surprise,surprise,True,False,0.14664836520695818
"('P0', 'P11')","('neutral', 'neutral')",P0,P11,neutral,neutral,True,True,-0.19742046369489832
"('P0', 'P11')","('neutral', 'fear')",P0,P11,neutral,fear,False,True,0.2635531315846571
"('P0', 'P11')","('neutral', 'anger')",P0,P11,neutral,anger,False,True,0.2762373686736859
"('P0', 'P11')","('neutral', 'disgust')",P0,P11,neutral,disgust,False,True,0.33111039962888694
"('P0', 'P11')","('neutral', 'sadness')",P0,P11,neutral,sadness,False,True,0.22756688956140292
"('P0', 'P11')","('neutral', 'happiness')",P0,P11,neutral,happiness,False,True,0.09053268152223555
"('P0', 'P11')","('neutral', 'surprise')",P0,P11,neutral,surprise,False,True,0.35408235677866634
"('P0', 'P11')","('fear', 'neutral')",P0,P11,fear,neutral,False,True,-0.17221523696589047
"('P0', 'P11')","('fear', 'fear')",P0,P11,fear,fear,True,True,0.23698185494043758
"('P0', 'P11')","('fear', 'anger')",P0,P11,fear,anger,False,True,0.01672353401454029
"('P0', 'P11')","('fear', 'disgust')",P0,P11,fear,disgust,False,True,0.3183690458317953
