StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,E_consent_yes,device_eligibility,age,gender,gender_3_TEXT,LEAPQ_edu_level,LEAPQ_edu_level_9_TEXT,language_Kor,Korean_heritage,LEAPQ_other_immigr,LEAPQ_dominance_1,LEAPQ_dominance_2,LEAPQ_dominance_3,LEAPQ_dominance_4,LEAPQ_dominance_5,LEAPQ_acquisition_1,LEAPQ_acquisition_2,LEAPQ_acquisition_3,LEAPQ_acquisition_4,LEAPQ_acquisition_5,Kor_AoA_1,Kor_AoA_2,Kor_AoA_3,Kor_AoA_4,Kor_langenv_1,Kor_langenv_2,Kor_langenv_3,Kor_profspk,Kor_profcomp,Kor_profrd,Kor_learnenv_1,Kor_learnenv_2,Kor_learnenv_3,Kor_learnenv_4,Kor_learnenv_5,Kor_learnenv_6,Kor_expenv_1,Kor_expenv_2,Kor_expenv_3,Kor_expenv_4,Kor_expenv_5,Kor_expenv_6,KorEng_dominance_1,KorEng_dominance_4,KorEng_dominance_5,Eng_AoA_1,Eng_AoA_2,Eng_AoA_3,Eng_AoA_4,Eng_langenv_1,Eng_langenv_2,Eng_langenv_3,Eng_langenv_4,Eng_profspk,Eng_profcomp,Eng_profrd,Eng_learnev_1,Eng_learnev_2,Eng_learnev_3,Eng_learnev_4,Eng_learnev_5,Eng_learnev_6,Eng_learnev_7,Eng_expenv_1,Eng_expenv_2,Eng_expenv_3,Eng_expenv_4,Eng_expenv_5,Eng_expenv_6,userID,DeviceIdentifier,AoA_lang1,AoA_lang2,AoA_lang3,AoA_lang4,AoA_lang5
11/17/2025 17:17,11/17/2025 17:21,0,100,251,1,11/17/2025 17:21,R_6pbVbwDOHLN1UxQ,,,,,40.6955,-73.9667,anonymous,EN,1,,65,2,,5,,2,2,no,English,,,,,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,5,6,1,1,1,7 years,10,10,10,0,9,10,0,7,0,0,10,10,10,0,0,0,,,English,,,,
11/17/2025 18:34,11/17/2025 18:46,0,100,754,1,11/17/2025 18:46,R_3fBEh6aKOhR8jlf,,,,,34.3337,-83.499,anonymous,EN,1,,52,2,,1,,2,2,,English,,,,,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,5,6,52 years,52 years,48 years,7 years,11,11,11,2,6,8,0,7,0,0,10,10,10,10,10,10,,,English,,,,
11/13/2025 16:14,11/13/2025 21:20,0,14,18325,0,11/20/2025 21:20,R_5JVZwIBJJb5jkrV,,,,,32.8595,-117.2124,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/23/2025 0:02,11/23/2025 0:03,0,100,77,1,11/23/2025 0:03,R_7o0TATUot779iuv,,,,,32.9164,-117.1393,anonymous,EN,1,1,test,3,test,"1,9",t,2,2,,t,,,,,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,5,t,t,t,t,t,t,1,1,1,1,2,1,2,7,4,3,5,3,5,4,0,0,,,t,,,,
11/23/2025 0:09,11/23/2025 0:16,0,100,379,1,11/23/2025 0:16,R_1IvVTmN3NkA2h7H,,,,,41.921,-87.6454,anonymous,EN,1,1,44,1,,8,,2,2,,English,,,,,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Birth,2-5 years of age,8 (estimate),10 (estimate),44,44,44,7 years,11,11,11,10,10,10,0,7,10,10,10,10,10,0,10,10,P2,,English,,,,
11/23/2025 0:13,11/23/2025 0:17,0,100,216,1,11/23/2025 0:17,R_4ohRWWo4HqfRauw,,,,,43.0647,141.3489,anonymous,EN,1,1,56,1,,5,,2,2,Japan 7/5/2007,Englsih,Japanese,,,,English ,Japanese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,6,10,30 years ,30 years,20 years,7 years,11,11,11,10,10,10,1,7,8,8,2,6,10,1,10,10,P18,,English ,Japanese,,,
11/23/2025 0:14,11/23/2025 0:18,0,100,223,1,11/23/2025 0:18,R_5OOXBAVatJPrkVK,,,,,36.7986,-119.8107,anonymous,EN,1,1,37,2,,5,,2,2,,English,,,,,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,4,10,37 years,37 years,37 years,7 years,10,10,10,6,7,8,2,7,5,5,10,10,10,4,7,8,P1,,English,,,,
11/23/2025 0:21,11/23/2025 0:27,0,100,314,1,11/23/2025 0:27,R_1IQxaDfeTNmW9jR,,,,,35.2296,-80.843,anonymous,EN,1,1,27,1,,7,,2,2,I have never immigrated to another country.,English,Spanish,French,,,English,Spanish,French,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,5,7,27,27,22,7,11,11,11,8,9,9,1,7,6,8,9,9,10,2,8,7,P20,,English,Spanish,French,,
11/23/2025 0:23,11/23/2025 0:29,0,100,352,1,11/23/2025 0:29,R_3rS9ycshABg3OEt,,,,,45.4383,-122.6147,anonymous,EN,1,1,43,2,,4,,2,2,,English,,,,,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,25 years,25 years,25 years,7 years,11,11,11,6,9,10,0,7,5,5,10,10,10,10,10,10,P17,,English,,,,
11/23/2025 0:23,11/23/2025 0:30,0,100,401,1,11/23/2025 0:30,R_3j6TrOlxis7tMTy,,,,,37.0453,-76.3404,anonymous,EN,1,1,26,2,,5,,2,2,,English,,,,,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,3,8,26 years,26 years,14 years,7 years,11,11,11,10,10,10,7,7,10,10,10,10,10,10,10,10,P16,,English,,,,
